Genus	Species	Marker	Sequence_Count
Alyssum	foliosum	rpoB.txt	6
Alyssum	granatense	rpoB.txt	8
Alyssum	hirsutum	rpoB.txt	6
Alyssum	minutum	rpoB.txt	8
Alyssum	montanum	Adh.txt	5
Alyssum	montanum	CHS.txt	107
Alyssum	montanum	ndhF.txt	5
Alyssum	montanum	trnL-trnF.txt	7
Alyssum	montenegrinum	CHS.txt	4
Alyssum	repens	CHS.txt	6
Alyssum	rhodanense	CHS.txt	25
Alyssum	siculum	rpoB.txt	14
Alyssum	simplex	rpoB.txt	16
Alyssum	simulans	rpoB.txt	4
Alyssum	smyrnaeum	rpoB.txt	4
Alyssum	strigosum	CHS.txt	6
Alyssum	strigosum	rpoB.txt	6
Alyssum	turkestanicum	rpoB.txt	4
Alyssum	umbellatum	rpoB.txt	4
Amaranthus	blitum	rbcL.txt	10
Ammi	majus	matK.txt	4
Amphoricarpos	neumayerianus	rps16.txt	28
Amphoricarpos	neumayerianus	trnK.txt	28
Anabasis	aphylla	rbcL.txt	5
Anabasis	aphylla	rps16.txt	5
Anabasis	articulata	rbcL.txt	6
Anabasis	salsa	rbcL.txt	4
Anacamptis	palustris	trnL-trnF.txt	6
Anacyclus	pyrethrum	ITS.txt	4
Anagallis	arvensis	matK.txt	15
Anagallis	arvensis	psbA-trnH.txt	4
Anagallis	arvensis	rbcL.txt	22
Anchusa	arvensis	matK.txt	4
Anchusa	arvensis	rbcL.txt	9
Anchusa	crispa	Adh.txt	6
Anchusa	crispa	matK.txt	6
Anchusa	crispa	ndhF.txt	6
Anchusa	crispa	rbcL.txt	6
Anchusa	crispa	trnK.txt	6
Anchusa	crispa	trnL-trnF.txt	6
Andrachne	telephioides	26SrRNA.txt	4
Andrachne	telephioides	5.8SrRNA.txt	4
Andrachne	telephioides	ITS.txt	4
Andrachne	telephioides	ITS1.txt	4
Andrachne	telephioides	ITS2.txt	4
Andrachne	telephioides	matK.txt	4
Androsace	adfinis	rpl20-rps12.txt	114
Androsace	adfinis	trnL-trnF.txt	6
Androsace	alpina	rpl20-rps12.txt	131
Androsace	chaixii	rpl20-rps12.txt	9
Androsace	chamaejasme	matK.txt	10
Androsace	chamaejasme	rbcL.txt	12
Androsace	cylindrica	psbA-trnH.txt	13
Androsace	cylindrica	rps16.txt	13
Androsace	cylindrica	trnL-trnF.txt	4
Androsace	halleri	rpl20-rps12.txt	5
Androsace	halleri	trnL-trnF.txt	5
Androsace	helvetica	rpl20-rps12.txt	142
Androsace	lactea	rpl20-rps12.txt	80
Androsace	laggeri	rpl20-rps12.txt	5
Androsace	pubescens	rpl20-rps12.txt	40
Androsace	vitaliana	rpl20-rps12.txt	189
Andryala	ragusina	Adh.txt	4
Anemone	narcissiflora	atpB-rbcL.txt	11
Anemone	narcissiflora	matK.txt	5
Anemone	narcissiflora	psbA-trnH.txt	5
Anemone	narcissiflora	rbcL.txt	24
Anemone	narcissiflora	rpl16.txt	4
Anemone	narcissiflora	trnK.txt	15
